,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week,gameId
0,R.Jones,Ronald Jones,TB,2.68,7.69,2.44,13,75,5.8,0,2019,REG,1,2019090811
1,T.Pollard,Tony Pollard,DAL,7.59,15.38,3.33,13,24,1.8,0,2019,REG,1,2019090810
2,T.Gurley,Todd Gurley,LA,2.98,,2.7,14,97,6.9,0,2019,REG,1,2019090800
3,L.McCoy,LeSean McCoy,KC,2.1,,2.56,10,81,8.1,0,2019,REG,1,2019090802
4,D.Henry,Derrick Henry,TEN,4.26,42.11,2.87,19,84,4.4,1,2019,REG,1,2019090801
5,F.Gore,Frank Gore,BUF,6.11,18.18,2.74,11,20,1.8,0,2019,REG,1,2019090805
6,C.Hyde,Carlos Hyde,HOU,2.62,,2.97,10,83,8.3,0,2019,REG,1,2019090900
7,L.Fournette,Leonard Fournette,JAX,3.43,23.08,2.75,13,66,5.1,0,2019,REG,1,2019090802
8,D.Williams,Damien Williams,KC,6.12,7.69,2.83,13,26,2,1,2019,REG,1,2019090802
9,J.Conner,James Conner,PIT,7.9,,3.22,10,21,2.1,0,2019,REG,1,2019090812
10,M.Ingram,Mark Ingram,BAL,2.51,21.43,2.49,14,107,7.6,2,2019,REG,1,2019090803
11,C.Carson,Chris Carson,SEA,4.96,6.67,2.89,15,46,3.1,1,2019,REG,1,2019090808
12,D.Cook,Dalvin Cook,MIN,3.41,47.62,2.83,21,111,5.3,2,2019,REG,1,2019090804
13,C.Anderson,C.J. Anderson,DET,4.37,72.73,2.67,11,35,3.2,0,2019,REG,1,2019090809
14,M.Mack,Marlon Mack,IND,2.83,4,2.87,25,174,7,1,2019,REG,1,2019090807
15,A.Ekeler,Austin Ekeler,LAC,3.74,25,3.3,12,58,4.8,1,2019,REG,1,2019090807
16,G.Edwards,Gus Edwards,BAL,3.64,11.76,2.43,17,56,3.3,0,2019,REG,1,2019090803
17,N.Chubb,Nick Chubb,CLE,3.48,,2.71,17,75,4.4,0,2019,REG,1,2019090801
18,E.Elliott,Ezekiel Elliott,DAL,4.43,7.69,2.95,13,53,4.1,1,2019,REG,1,2019090810
19,J.Jacobs,Josh Jacobs,OAK,3.62,26.09,2.27,23,85,3.7,2,2019,REG,1,2019090901
20,S.Michel,Sony Michel,NE,14.86,,2.64,15,14,0.9,0,2019,REG,1,2019090812
21,C.McCaffrey,Christian McCaffrey,CAR,2.42,26.32,2.39,19,128,6.7,2,2019,REG,1,2019090800
22,K.Johnson,Kerryon Johnson,DET,4.31,62.5,2.83,16,49,3.1,0,2019,REG,1,2019090809
23,P.Lindsay,Phillip Lindsay,DEN,4.18,27.27,2.98,11,43,3.9,0,2019,REG,1,2019090901
24,A.Kamara,Alvin Kamara,NO,3.06,7.69,2.87,13,97,7.5,0,2019,REG,1,2019090900
25,M.Sanders,Miles Sanders,PHI,7.83,27.27,2.6,11,25,2.3,0,2019,REG,1,2019090806
26,R.Freeman,Royce Freeman,DEN,3.33,,3.07,10,56,5.6,0,2019,REG,1,2019090901
27,S.Barkley,Saquon Barkley,NYG,1.94,36.36,3.05,11,120,10.9,0,2019,REG,1,2019090810
28,A.Jones,Aaron Jones,GB,5.25,,2.75,13,39,3,0,2019,REG,1,2019090500
29,M.Breida,Matt Breida,SF,7.1,20,2.89,15,37,2.5,0,2019,REG,1,2019090811
30,M.Brown,Malcolm Brown,LA,3.11,9.09,2.67,11,53,4.8,2,2019,REG,1,2019090800
31,L.Bell,Le'Veon Bell,NYJ,3.79,11.76,2.9,17,60,3.5,0,2019,REG,1,2019090805
32,D.Guice,Derrius Guice,WAS,8.18,10,2.62,10,18,1.8,0,2019,REG,1,2019090806
33,D.Johnson,David Johnson,ARI,3.96,,2.86,18,82,4.6,0,2019,REG,1,2019090809
34,L.McCoy,LeSean McCoy,KC,8.28,9.09,2.88,11,23,2.1,0,2019,REG,2,2019091510
