,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week,gameId
0,A.Jones,Aaron Jones,GB,5.25,,2.65,13,39,3,0,2019,REG,1,2019090500
1,G.Edwards,Gus Edwards,BAL,3.64,11.76,2.37,17,56,3.3,0,2019,REG,1,2019090803
2,L.Bell,Le'Veon Bell,NYJ,3.79,5.88,2.9,17,60,3.5,0,2019,REG,1,2019090805
3,N.Chubb,Nick Chubb,CLE,3.48,,2.71,17,75,4.4,0,2019,REG,1,2019090801
4,R.Freeman,Royce Freeman,DEN,3.33,,3.04,10,56,5.6,0,2019,REG,1,2019090901
5,T.Gurley,Todd Gurley,LA,2.98,,2.7,14,97,6.9,0,2019,REG,1,2019090800
6,D.Henry,Derrick Henry,TEN,4.26,42.11,2.87,19,84,4.4,1,2019,REG,1,2019090801
7,R.Jones,Ronald Jones,TB,2.68,7.69,2.44,13,75,5.8,0,2019,REG,1,2019090811
8,S.Michel,Sony Michel,NE,14.86,,2.6,15,14,0.9,0,2019,REG,1,2019090812
9,C.Hyde,Carlos Hyde,HOU,2.62,,2.99,10,83,8.3,0,2019,REG,1,2019090900
10,T.Pollard,Tony Pollard,DAL,7.59,7.69,3.33,13,24,1.8,0,2019,REG,1,2019090810
11,M.Mack,Marlon Mack,IND,2.83,4,2.87,25,174,7,1,2019,REG,1,2019090807
12,C.Carson,Chris Carson,SEA,4.96,6.67,2.87,15,46,3.1,1,2019,REG,1,2019090808
13,L.McCoy,LeSean McCoy,KC,2.1,,2.52,10,81,8.1,0,2019,REG,1,2019090802
14,D.Cook,Dalvin Cook,MIN,3.41,47.62,2.79,21,111,5.3,2,2019,REG,1,2019090804
15,L.Fournette,Leonard Fournette,JAX,3.43,15.38,2.73,13,66,5.1,0,2019,REG,1,2019090802
16,J.Jacobs,Josh Jacobs,OAK,3.62,26.09,2.26,23,85,3.7,2,2019,REG,1,2019090901
17,M.Ingram,Mark Ingram,BAL,2.51,14.29,2.49,14,107,7.6,2,2019,REG,1,2019090803
18,J.Conner,James Conner,PIT,7.9,,3.2,10,21,2.1,0,2019,REG,1,2019090812
19,M.Brown,Malcolm Brown,LA,3.11,9.09,2.66,11,53,4.8,2,2019,REG,1,2019090800
20,A.Ekeler,Austin Ekeler,LAC,3.74,25,3.3,12,58,4.8,1,2019,REG,1,2019090807
21,D.Johnson,David Johnson,ARI,3.96,,2.86,18,82,4.6,0,2019,REG,1,2019090809
22,M.Breida,Matt Breida,SF,7.1,20,2.89,15,37,2.5,0,2019,REG,1,2019090811
23,A.Kamara,Alvin Kamara,NO,3.06,7.69,2.83,13,97,7.5,0,2019,REG,1,2019090900
24,P.Lindsay,Phillip Lindsay,DEN,4.18,27.27,2.94,11,43,3.9,0,2019,REG,1,2019090901
25,F.Gore,Frank Gore,BUF,6.11,18.18,2.74,11,20,1.8,0,2019,REG,1,2019090805
26,M.Sanders,Miles Sanders,PHI,7.83,27.27,2.59,11,25,2.3,0,2019,REG,1,2019090806
27,C.Anderson,C.J. Anderson,DET,4.37,72.73,2.69,11,35,3.2,0,2019,REG,1,2019090809
28,D.Williams,Damien Williams,KC,6.12,7.69,2.71,13,26,2,1,2019,REG,1,2019090802
29,K.Johnson,Kerryon Johnson,DET,4.31,56.25,2.83,16,49,3.1,0,2019,REG,1,2019090809
30,E.Elliott,Ezekiel Elliott,DAL,4.43,7.69,2.95,13,53,4.1,1,2019,REG,1,2019090810
31,S.Barkley,Saquon Barkley,NYG,1.94,36.36,3.05,11,120,10.9,0,2019,REG,1,2019090810
32,C.McCaffrey,Christian McCaffrey,CAR,2.42,26.32,2.39,19,128,6.7,2,2019,REG,1,2019090800
